District code,State name,District name,Population Total,Literacy rate,name,Place,Coordinates,Area,Population
536,ANDHRA PRADESH,Hyderabad,3943323,0.733430916,"Hyderabad, ANDHRA PRADESH","Hyderabad, TG, India","17.365999221801758, 78.47599792480469",3149,1252.24611
537,ANDHRA PRADESH,Rangareddy,5296741,0.667963187,"Rangareddy, ANDHRA PRADESH","AP, India","15.755635261535645, 79.9654769897461",7493,706.8918991
538,ANDHRA PRADESH,Mahbubnagar,4053028,0.478813865,"Mahbubnagar, ANDHRA PRADESH","Mahbubnagar, TG, India","16.741853713989258, 77.98580932617188",1899,2134.295945
539,ANDHRA PRADESH,Nalgonda,3488809,0.573553611,"Nalgonda, ANDHRA PRADESH","Nalgonda, TG, India","17.064674377441406, 79.27967071533203",10528,331.3838336
540,ANDHRA PRADESH,Warangal,3512576,0.587894184,"Warangal, ANDHRA PRADESH","AP, India","15.755635261535645, 79.9654769897461",6309,556.7563798
541,ANDHRA PRADESH,Khammam,2797370,0.58277382,"Khammam, ANDHRA PRADESH","Khammam, TG, India","17.231706619262695, 80.18262481689453",1486,1882.483176
542,ANDHRA PRADESH,Srikakulam,2703114,0.553206783,"Srikakulam, ANDHRA PRADESH","Srikakulam, AP, India","18.294832229614258, 83.89366149902344",1979,1365.898939
543,ANDHRA PRADESH,Vizianagaram,2344474,0.528215711,"Vizianagaram, ANDHRA PRADESH","Vizianagaram, AP, India","18.11124038696289, 83.39738464355469",12846,182.5061498
544,ANDHRA PRADESH,Visakhapatnam,4290589,0.598577258,"Visakhapatnam, ANDHRA PRADESH","Vishakhapatnam, AP, India","17.70849609375, 83.24382019042969",6539,656.1536932
545,ANDHRA PRADESH,East Godavari,5154296,0.638026415,"East Godavari, ANDHRA PRADESH","East Godavari, AP, India","16.92388916015625, 82.21356201171875",4134,1246.805999
546,ANDHRA PRADESH,West Godavari,3936966,0.673713972,"West Godavari, ANDHRA PRADESH","West Godavari, AP, India","16.809986114501953, 81.52629089355469",7422,530.4454325
547,ANDHRA PRADESH,Krishna,4517398,0.66625035,"Krishna, ANDHRA PRADESH","Krishna, AP, India","16.69171714782715, 80.77774047851562",5129,880.7560928
548,ANDHRA PRADESH,Guntur,4887813,0.60567804,"Guntur, ANDHRA PRADESH","Guntur, AP, India","16.293807983398438, 80.45467376708984",11391,429.094285
549,ANDHRA PRADESH,Prakasam,3397448,0.560548682,"Prakasam, ANDHRA PRADESH","Prakasam, AP, India","15.489291191101074, 79.61227416992188",17626,192.7520708
550,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,2963557,0.618239838,"Sri Potti Sriramulu Nellore, ANDHRA PRADESH","AP, India","14.420015335083008, 79.73960876464844",5837,507.7192051
551,ANDHRA PRADESH,Y.S.R.,2882469,0.595588712,"Y.S.R., ANDHRA PRADESH","AP, India","15.755635261535645, 79.9654769897461",15359,187.6729605
552,ANDHRA PRADESH,Kurnool,4053463,0.524776222,"Kurnool, ANDHRA PRADESH","Kurnool, AP, India","15.83120346069336, 78.03617858886719",1530,2649.322222
553,ANDHRA PRADESH,Anantapur,4081148,0.566252437,"Anantapur, ANDHRA PRADESH","Anantapur, AP, India","14.681184768676758, 77.59669494628906",19130,213.3375849
554,ANDHRA PRADESH,Chittoor,4174064,0.639155988,"Chittoor, ANDHRA PRADESH","Chittoor, AP, India","13.219499588012695, 79.10330200195312",15152,275.4794087
555,KARNATAKA,Belgaum,4779661,0.638545704,"Belgaum, KARNATAKA","Belgaum, KA, India","15.852765083312988, 74.51111602783203",8461,564.9049758
556,KARNATAKA,Bagalkot,1889752,0.589184189,"Bagalkot, KARNATAKA","Bagalkot, KA, India","16.17919921875, 75.69940185546875",2241,843.2628291
557,KARNATAKA,Bijapur,2177331,0.5733019,"Bijapur, KARNATAKA","Bijapur, KA, India","16.828798294067383, 75.71778106689453",4561,477.3801798
558,KARNATAKA,Bidar,1703300,0.61214877,"Bidar, KARNATAKA","Bidar, KA, India","17.913522720336914, 77.51974487304688",8530,199.6834701
559,KARNATAKA,Raichur,1928812,0.507965006,"Raichur, KARNATAKA","Raichur, KA, India","16.20725440979004, 77.34587097167969",8442,228.4780858
560,KARNATAKA,Koppal,1389920,0.582109042,"Koppal, KARNATAKA","Koppal, KA, India","15.353899955749512, 76.14430236816406",8807,157.819916
561,KARNATAKA,Gadag,1064570,0.657708746,"Gadag, KARNATAKA","Gadag, KA, India","15.436699867248535, 75.64360046386719",4657,228.5956624
562,KARNATAKA,Dharwad,1847023,0.704736216,"Dharwad, KARNATAKA","Dharwad, KA, India","15.458492279052734, 75.0074691772461",4260,433.5734742
563,KARNATAKA,Uttara Kannada,1437169,0.752803602,"Uttara Kannada, KARNATAKA","Uttara Kannada, KA, India","14.600000381469727, 74.69999694824219",8016,179.2875499
564,KARNATAKA,Haveri,1597668,0.679392089,"Haveri, KARNATAKA","Haveri, KA, India","14.794798851013184, 75.41120147705078",1840,868.2978261
565,KARNATAKA,Bellary,2452595,0.579639525,"Bellary, KARNATAKA","Bellary, KA, India","15.100000381469727, 76.91699981689453",10043,244.2093996
566,KARNATAKA,Chitradurga,1659456,0.655270161,"Chitradurga, KARNATAKA","Chitradurga, KA, India","14.224250793457031, 76.39544677734375",8436,196.7112376
567,KARNATAKA,Davanagere,1945497,0.672599341,"Davanagere, KARNATAKA","Davangere, KA, India","14.45770263671875, 75.92198181152344",5924,328.4093518
